author,date,introduce,location,price,review,star

刘刚, /2017-04-01,微信小程序可以实现App软件的原生交互操作效果，无需安装卸载，解放用户手机内存。商家使用微信小程序也可以被更多用户找到自己的产品，成为有利的宣传。2017年是小程序发布的元年，它的市场广阔，提供了很多就业的机会，成为一名小程序员吧！ 《微信小程序开发图解案例教程》助你3步学会微信小程序设计 Step1图文代码快速理解小程序基本原理和应用方法 Step2海量案例，边练边学 Step3综合实战，感受真实商业项目制作过程 平台支撑，免费赠送资源 1.全部案例源代码、素材、文件 2.全书电子教案 3.北风网部分配套高清精讲视频教程 附赠资源可登陆人邮教育社区（www.ryjiaoyu.com.cn）或根据书中网盘地址下载使用。,人民邮电出版社,¥57.40,3126条评论,width: 90%;

郭霖, /2016-12-01,1. CSDN超人气博主、CSDN十大博客之星、Android开发者郭霖力作 2. 基于Android 7.0、Android Studio 2.2全新升级 3. Android初学者入门，Android开发者进阶 4. 涵盖Material Design、运行时权限、RecyclerView、百分比布局等全新特性 5. 第1版重印数十次，经典畅销，好评如潮，以超高质量的内容赢得了开发者的广泛认可，被誉为Android学习经典书,人民邮电出版社,¥54.50,9061条评论,width: 90%;

雷磊, /2017-04-01,"以Orange Can项目为主线，深入浅出地介绍微信小程序的基本结构、开发模式、组件应用、数据绑定方法、微信API使用、微信与设备硬件交互、微信支付等内容根据微信小程序公开上线新版本编写,总结小程序开发中踩过的 坑 、常见的开发误区以及开发心得，让你减少试错时间，快速开发出自己的小程序",清华大学出版社,¥59.30,653条评论,width: 90%;

明日学院, /2017-09-01,本书是一本屡获殊荣、经久不衰的安卓入门类畅销书Android书籍的全新改造，从1行代码Android开始，集Android编程入门、Android核心技术、Android高级编程、Android视频教程于一体。 1. 累计重印30余次、销量近12万册安卓入门经典之全新再造。 2. 教程 同步视频 实例分析 项目案例 在线课程 海量资源 在线服务。 3. 扫描书中二维码，可在手机、电脑同步看教学视频。 4．232节高清微视频覆盖全书，集视、听演示于一体，边看边学更快捷。 5．市场培训价值2000元，总计150学时，Java、Oracle在线课程超值大放送。 6．271个实例源代码详尽分析。 7．大项目案例条分缕析展示开发全过程，手把手教你做项目。 8．附赠海量学习资源： （1）实例资源库（1093个实例及源代码分析，多读源代码是快速学习之道） （2）模块资源库（16个典型移植模块，拿来改改就能用） （3,水利水电出版社,¥70.90,1381条评论,width: 90%;

李刚, /2017-01-01,总编荐书，经典与你同行 自面市以来重印30 次，发行量超16万册，并屡获殊荣！ 开卷数据显示 Android 图书排行榜前三 曾获评 CSDN 年度具有技术影响力十大原创图书 多次荣获年度畅销图书及长销图书大奖 被工信出版集团授予年度 优秀出版物 奖,电子工业出版社,¥103.70,4657条评论,width: 90%;

苍王, /2018-03-01,Android走过的十个年头，其技术演进也是有迹可循的，本书作者基于自己在大型App架构的技术演进中成长的经历，将遇到的相关问题进行深入剖析，包括Android 组件化架构、模块化架构、插件化架构等，并对近来国内热门Android架构体系及其研发流程，以及开发中遇到的问题进行深入剖析。,电子工业出版社,¥75.80,220条评论,width: 100%;

故胤道长, /2018-07-01,117道以上IT大厂面试题 详解iOS大厂技术人员所关注和重视的技术点 不仅是面试指南，也是构建iOS知识体系的基本框架 在一问一答间，融入作者对问题本质的深刻理解和多年工作经验的沉淀 硅谷iOS工程师、资深iOS开发者为你详解硅谷、Google、Facebook、BAT等知名IT大厂面试题！,电子工业出版社,¥56.60,3条评论,width: 60%;

欧阳燊, /2017-06-01,《Android Studio开发实战：从零基础到App上线》是一本非常实用的指导手册，它几乎包含了 Android Studio 所有的实用功能和操作技巧，适合放在你的电脑旁经常翻阅。本书以通俗易懂的语言描述工具的使用技巧，并且每个操作都有实例演示，让读者感觉是在跟一个有经验的人聊天。本书以近 1500 张图片详细描述 Android Studio 的使用，是真正的图文并茂。本书以解决问题为目的，讲述如何使用工具来解决实际问题。本书专注于操作技巧的讲解，对于 Android 开发的基础知识略有提及，但不是本书的重点。本书以 macOS 上的操作为例进行演示，不同操作系统上 Android Studio 的操作差异不大，对于快捷键会区分 macOS / Windows / Linux。本书的大部分操作技巧同样适用于 IntelliJ IDEA。,清华大学出版社,¥88.30,1439条评论,width: 90%;

林学森, /2017-06-01,基于Android SDK zui新版本 全面剖析了进程/线程、内存管理、Binder机制、GUI显示系统、多媒体管理、输入系统等核心知识在Android中的实现原理 Android安全机制 虚拟 内存优化 性能优化 通过大量图片与实例来引导读者学习，以求尽量在源码分析外，为读者提供更易于理解的思维路径 由浅入深，由总体框架再到细节实现，让读者尽快了解Android内核的设计思想,人民邮电出版社,¥151.70,662条评论,width: 90%;

任玉刚, /2015-09-01,,电子工业出版社,¥75.80,3738条评论,width: 90%;

启舰, /2018-07-01,1 本书从动画、绘图、视图三方面介绍Android自定义控件相关知识，内容系统全面，并配以翔实的案例。 2 Android自定义控件涉及动画和色彩，本书将图片地址制作成二维码，可供读者扫描观看。 3 本书适合初高级水平从业者系统学习，也适合高级水平从业者查漏补缺。,电子工业出版社,¥95.00,1条评论,width: 100%;

刘望舒, /2017-06-01,,电子工业出版社,¥85.40,542条评论,width: 90%;

高洪涛, /2017-02-01,很简单：只需掌握HTML5基础知识，即可跟随本书进行学习 很丰富：包括API、多媒体、网络、手机硬件控制等内容 很图解：知识点以易懂的图示进行讲解，清晰明了地阐述相应知识 很实战：针对每个知识点，都以案例为引导，帮助读者动手操作,电子工业出版社,¥56.60,2506条评论,width: 90%;

何红辉, /2017-06-01,CSDN社区专家精心撰写、业界专家邓凡平、郭霖、任玉刚、徐宜生等鼎力推荐 业界第1本Android源码讲解设计模式的书 本书不仅分析了Android源代码的设计模式，更结合实例演示了如何使用这些设计模式。看这本书，既能学到如何分析、学习Android源代码，又能提高自己架构设计水平 书中的主人公小民就是那些不断追求技术进步，从而得以不断成长的IT技术人的代表，小民的成长过程基本上反映了我们现在程序员的成长经历，他的成功很值得我们学习和借鉴。,人民邮电出版社,¥95.00,462条评论,width: 80%;

SkySeraph, /2018-04-01,全面介绍了在移动应用开发的架构设计和性能优化方面的知识，是架构师的必 备书籍 讲述了移动应用架构师需要了解的技能、思想等整体的发展方向，是移动架构师成长的路线图 读者不仅可以学习到移动应用的开发技术，更能收获到在实战项目中会用到的各种工程化的知识，是架构师的学习宝典,人民邮电出版社,¥75.80,285条评论,width: 70%;

包建强, /2018-08-10,本书不仅详细介绍Android插件化技术如何实现，而且包含大量Android系统的底层知识，有助于App开发人员深入理解Android系统，从而写出更健壮的代码。Android插件化技术不仅适用于快速修复bug，还可以快速上线新功能，从而在时间上和竞争对手抢占用户。本书详细介绍了插件化技术的各种方案，及其实现代码，并给出了应用场景。,机械工业出版社,¥61.20,1条评论,width: 100%;

Jonathan, /2018-07-01,本书作者以研究操作系统并从事相关培训工作为生，是业内著名的操作系统专家、极客、果粉 著有多本操作系统的畅销书。本书是他针对Android系统写的*本书。根据以往读者的反馈，在本书的内容上摒弃了以源代码讲解的方式，而改用实验的方法，直接拉低了学习的门槛 读者无须费力也可根据实验轻松地理解掌握Android内部技术的精髓！如业内众大咖所说：本书是目前了流的Android书，也是学习Android内部技术的不二之选！ 本书被美国中情局，国内部分手机厂商作为内部员工学习教材。 写作特色 抛弃传统以源代码讲解的形式，直接从实验入手，读者无须了解代码也能深入掌握Android技术精髓 各章节相对独立，可以跳跃式阅读 大量使用图表、图片，直观易懂 作者有多年培训经验，针对读者的痛点下工夫，思路清晰、表述到位,电子工业出版社,¥70.30,2条评论,width: 90%;

明日科技, /2017-06-01,软件开发视频大讲堂 丛书系清华社 视频大讲堂 重点大系之一。该大系包括多个子系列，每个子系列的图书在其同品种的图书中销售名列前茅，其中：4个品种荣获 全行业优秀畅销品种 1个品种荣获2012年清华大学出版社 专业畅销书 一等奖绝大多数品种在 全国计算机零售图书排行榜 同品种排行中名列前茅截至目前该大系累计销售超过130万册该大系已成为近年来清华社计算机专业基础类零售图书畅销品牌之一 软件开发视频大讲堂 系列作为清华社 视频大讲堂 大系的子系列之一，继承和创新了清华社 视频大讲堂 大系的编写模式、写作风格和优良品质。本书突出了以下内容：总长总时长30小时同步视频演示讲解，可反复观摩，让学习更为快捷、高效436个典型实例，通过实例学习更深入，更有趣，更有动力369道面试真题，了解工作实例及面试问题，更好适应企,清华大学出版社,¥68.60,663条评论,width: 100%;

易伟, /2017-04-01,1.易。零基础入门，手把手教你小程序开发。 2.观。配套开发视频，全程同步指导。 3.全。提供丰富源代码，功能全覆盖。 4.快。想快速学会小程序开发，这一本就够了。,人民邮电出版社,¥38.20,784条评论,width: 90%;

